City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Saint-Philippe,RE,2021-12-07 19:03:47,-21.3585,55.7679,76.59,83,37,10.92
67,Amambai,BR,2021-12-07 19:11:29,-23.1042,-55.2258,88.0,30,11,5.46
68,Simao,CN,2021-12-07 19:11:30,22.7886,100.9748,51.3,88,3,2.24
69,Souillac,MU,2021-12-07 19:06:07,-20.5167,57.5167,77.38,83,40,5.75
70,Brae,GB,2021-12-07 19:11:30,60.3964,-1.353,44.51,72,100,21.68
71,Naregal,IN,2021-12-07 19:11:31,15.5833,75.8167,71.85,58,0,5.08
72,Koygorodok,RU,2021-12-07 19:11:31,60.445,50.9968,5.61,92,100,5.46
73,Constitucion,CL,2021-12-07 19:08:46,-35.3333,-72.4167,64.04,63,0,6.71
74,Falun,SE,2021-12-07 19:11:31,60.6036,15.626,0.01,97,100,1.88
75,Mnogovershinnyy,RU,2021-12-07 19:11:32,53.9353,139.9242,1.04,82,11,7.54
76,Yellowknife,CA,2021-12-07 19:06:09,62.456,-114.3525,-7.49,88,17,13.96
77,Mar Del Plata,AR,2021-12-07 19:00:29,-38.0023,-57.5575,67.87,89,0,28.01
78,Thinadhoo,MV,2021-12-07 19:11:33,0.5333,72.9333,81.82,80,100,10.63
79,Lompoc,US,2021-12-07 19:07:29,34.6391,-120.4579,65.57,84,90,0.0
80,Hermanus,ZA,2021-12-07 19:11:33,-34.4187,19.2345,66.9,81,100,14.7
81,Novoagansk,RU,2021-12-07 19:11:33,61.9449,76.6625,-1.44,97,98,10.25
82,Ribeira Grande,PT,2021-12-07 19:02:26,38.5167,-28.7,59.4,63,20,3.44
83,Cap-Aux-Meules,CA,2021-12-07 19:11:34,47.3821,-61.8597,33.39,60,86,39.88
84,Ulladulla,AU,2021-12-07 19:11:35,-35.35,150.4667,59.09,88,100,10.92
85,Tarauaca,BR,2021-12-07 19:11:35,-8.1614,-70.7656,85.26,65,94,2.59
86,Cherskiy,RU,2021-12-07 19:11:35,68.75,161.3,-44.43,100,89,1.1
87,Korhogo,CI,2021-12-07 19:11:36,9.45,-5.6333,80.96,20,9,4.14
88,Manggar,ID,2021-12-07 19:11:36,-2.8833,108.2667,78.08,89,100,7.16
89,Saint-Pierre,RE,2021-12-07 19:11:38,-21.3393,55.4781,76.68,78,20,6.91
90,Krasnoselkup,RU,2021-12-07 19:06:19,65.7,82.4667,-8.99,100,99,5.82
91,Palestine,PS,2021-12-07 19:11:38,31.9216,35.2033,57.94,44,100,5.06
92,Georgetown,MY,2021-12-07 19:10:33,5.4112,100.3354,79.9,79,20,6.91
93,Tskaltubo,GE,2021-12-07 19:12:38,42.3254,42.5979,63.54,29,0,34.52
94,Atuona,PF,2021-12-07 19:12:39,-9.8,-139.0333,78.03,77,11,19.42
95,Babu,CN,2021-12-07 19:12:39,24.4167,111.5167,52.16,67,0,3.44
96,Santa Ana,US,2021-12-07 19:07:54,33.7456,-117.8678,63.54,79,90,4.0
97,Auki,SB,2021-12-07 19:12:40,-8.7676,160.7034,76.86,94,100,7.45
98,Bethel,US,2021-12-07 19:10:25,41.3712,-73.414,42.21,46,97,1.99
99,Burnie,AU,2021-12-07 19:12:40,-41.0667,145.9167,45.28,77,100,6.8
100,Esperance,AU,2021-12-07 19:06:10,-33.8667,121.9,57.07,73,100,16.28
101,Kedrovyy,RU,2021-12-07 19:12:41,56.1667,91.8167,28.87,94,100,10.31
102,Talnakh,RU,2021-12-07 19:12:41,69.4865,88.3972,-11.79,98,100,5.99
103,Dikson,RU,2021-12-07 19:04:50,73.5069,80.5464,-8.99,95,100,19.44
104,Kafanchan,NG,2021-12-07 19:08:11,9.5833,8.3,75.29,25,100,5.48
105,Ormara,PK,2021-12-07 19:12:42,25.2088,64.6357,74.43,57,0,10.31
106,Ushuaia,AR,2021-12-07 19:12:27,-54.8,-68.3,47.82,45,63,16.06
107,Mahebourg,MU,2021-12-07 19:05:01,-20.4081,57.7,77.29,83,40,5.75
108,Juegang,CN,2021-12-07 19:12:43,32.3174,121.1855,51.91,75,100,8.86
109,Sinnamary,GF,2021-12-07 19:12:43,5.3833,-52.95,81.7,77,100,7.27
110,Solhan,TR,2021-12-07 19:12:43,38.9634,41.0293,36.09,69,100,6.04
111,Boende,CD,2021-12-07 19:12:44,-0.2167,20.8667,72.88,95,100,1.99
112,Samarai,PG,2021-12-07 19:12:44,-10.6167,150.6667,80.62,80,56,4.83
113,Balikpapan,ID,2021-12-07 19:12:45,-1.2675,116.8289,74.7,94,100,4.27
114,Bambous Virieux,MU,2021-12-07 19:08:58,-20.3428,57.7575,77.25,83,40,5.75
115,Nikolskoye,RU,2021-12-07 19:05:02,59.7035,30.7861,6.69,100,91,4.43
116,Coihaique,CL,2021-12-07 19:04:15,-45.5752,-72.0662,77.61,35,0,9.22
117,Keta,GH,2021-12-07 19:12:45,5.9179,0.9879,82.69,77,9,9.19
118,Alice Springs,AU,2021-12-07 19:03:01,-23.7,133.8833,72.95,49,83,8.05
119,Pisco,PE,2021-12-07 19:12:46,-13.7,-76.2167,72.01,73,40,10.36
120,Namatanai,PG,2021-12-07 19:06:13,-3.6667,152.4333,79.27,87,100,10.78
121,Tulun,RU,2021-12-07 19:12:46,54.5611,100.5792,17.76,92,100,2.35
122,Te Anau,NZ,2021-12-07 19:12:47,-45.4167,167.7167,50.61,87,97,3.36
123,El Alto,PE,2021-12-07 19:12:47,-4.2714,-81.2147,80.26,72,94,16.2
124,Husavik,IS,2021-12-07 19:12:48,66.0449,-17.3389,28.0,81,100,9.01
125,General Roca,AR,2021-12-07 19:12:48,-39.0333,-67.5833,82.8,50,76,31.63
126,Launceston,AU,2021-12-07 19:12:49,-41.45,147.1667,49.8,87,100,10.36
127,Victoria,HK,2021-12-07 19:12:06,22.2855,114.1577,68.38,72,92,1.01
128,East London,ZA,2021-12-07 19:04:51,-33.0153,27.9116,67.42,74,97,11.12
129,Oxford,GB,2021-12-07 19:10:00,51.7522,-1.256,44.06,84,0,3.0
130,Puerto Escondido,MX,2021-12-07 19:12:49,15.85,-97.0667,86.83,62,1,8.05
131,Lebu,CL,2021-12-07 19:07:25,-37.6167,-73.65,62.29,70,0,11.03
132,Nyurba,RU,2021-12-07 19:12:50,63.2842,118.3319,-29.51,100,16,2.51
133,Port-Gentil,GA,2021-12-07 19:12:50,-0.7193,8.7815,81.05,80,80,10.2
134,Zhanakorgan,KZ,2021-12-07 19:12:51,43.9098,67.2495,40.24,67,100,7.14
135,Abalak,RU,2021-12-07 19:12:51,58.1286,68.5944,0.55,95,53,5.93
136,Sorong,ID,2021-12-07 19:06:14,-0.8833,131.25,81.36,79,100,6.38
137,Kenai,US,2021-12-07 19:05:03,60.5544,-151.2583,32.02,87,90,3.44
138,Rocha,UY,2021-12-07 19:13:52,-34.4833,-54.3333,73.56,42,0,15.01
139,Shimoda,JP,2021-12-07 19:13:52,34.6667,138.95,51.91,83,100,16.73
140,Tailai,CN,2021-12-07 19:13:52,46.3833,123.4,14.2,94,16,1.61
141,Nome,US,2021-12-07 19:08:50,64.5011,-165.4064,8.67,78,90,10.36
142,Taltal,CL,2021-12-07 19:13:53,-25.4,-70.4833,68.5,68,28,10.0
143,Butwal,NP,2021-12-07 19:13:53,27.7006,83.4484,61.95,60,0,4.52
144,Sorland,NO,2021-12-07 19:13:54,67.667,12.6934,26.46,67,100,17.05
145,Ahja,EE,2021-12-07 19:13:54,58.2091,27.0734,-3.77,99,41,3.85
146,Kruisfontein,ZA,2021-12-07 19:06:16,-34.0033,24.7314,60.89,87,33,3.06
147,Cidreira,BR,2021-12-07 19:06:16,-30.1811,-50.2056,71.19,63,27,14.14
148,Lesnoye,RU,2021-12-07 19:13:54,58.2841,35.5158,12.99,98,70,5.3
149,Inuvik,CA,2021-12-07 19:13:55,68.3499,-133.7218,5.22,88,100,2.93
150,Borgomanero,IT,2021-12-07 19:13:55,45.7024,8.4581,41.72,53,100,1.01
151,Hay River,CA,2021-12-07 19:13:55,60.8156,-115.7999,0.54,87,100,9.46
152,Carlisle,US,2021-12-07 19:13:56,40.2015,-77.1889,38.62,50,100,1.01
153,Pevek,RU,2021-12-07 19:13:56,69.7008,170.3133,-14.17,99,100,5.7
154,Dingle,PH,2021-12-07 19:13:57,10.9995,122.6711,73.26,94,100,9.89
155,Henties Bay,NA,2021-12-07 19:13:57,-22.116,14.2845,62.85,90,0,5.82
156,The Valley,AI,2021-12-07 19:13:57,18.217,-63.0578,84.34,61,20,12.66
157,Tura,IN,2021-12-07 19:13:58,25.5198,90.2201,62.76,87,0,3.27
158,Aitape,PG,2021-12-07 19:13:58,-3.1374,142.3475,77.92,88,100,6.33
159,Zhadovka,RU,2021-12-07 19:13:58,53.5746,46.9498,24.35,82,100,16.96
160,San Cristobal,VE,2021-12-07 19:13:59,7.7669,-72.225,84.24,41,97,5.39
161,Severnyy,RU,2021-12-07 19:13:59,50.677,36.5532,39.24,93,75,8.95
162,Kashi,CN,2021-12-07 19:13:59,39.4547,75.9797,32.36,33,100,2.17
