City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
79,Severo-Kurilsk,RU,50.6789,156.125,32.85,83,11,1.48,few clouds
80,Thompson,CA,55.7435,-97.8558,0.72,89,20,7.34,few clouds
81,Voyskovitsy,RU,59.5287,29.964,10.94,85,94,11.16,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,90,5.01,overcast clouds
83,Hermanus,ZA,-34.4187,19.2345,69.91,85,54,10.33,broken clouds
84,Albany,US,42.6001,-73.9662,42.8,66,99,1.01,overcast clouds
85,Hobart,AU,-42.8794,147.3294,51.66,87,90,1.99,overcast clouds
86,Hasaki,JP,35.7333,140.8333,36.0,69,19,9.26,few clouds
87,Grand Gaube,MU,-20.0064,57.6608,79.2,70,100,5.01,overcast clouds
88,Avarua,CK,-21.2078,-159.775,73.45,94,90,3.44,overcast clouds
89,Camana,PE,-16.6228,-72.7111,71.35,70,15,8.75,few clouds
90,Saskylakh,RU,71.9167,114.0833,-11.96,97,100,8.55,overcast clouds
91,Muros,ES,42.7762,-9.0603,56.23,79,86,6.71,overcast clouds
92,North Bend,US,43.4065,-124.2243,43.88,100,90,9.22,overcast clouds
93,Mahon,ES,39.8885,4.2658,52.36,93,75,4.61,broken clouds
94,Kunming,CN,25.0389,102.7183,49.93,87,0,15.66,clear sky
95,Ziarat,PK,30.3823,67.7282,37.45,14,20,5.08,few clouds
96,Kapoeta,SS,4.7717,33.5903,88.11,28,98,16.46,overcast clouds
97,Kampot,KH,10.6167,104.1833,68.05,67,78,5.48,broken clouds
98,Mahebourg,MU,-20.4081,57.7,79.09,69,40,6.91,scattered clouds
99,Atambua,ID,-9.1061,124.8925,75.56,85,100,3.11,overcast clouds
100,Porto Novo,BJ,6.4965,2.6036,85.82,64,60,9.28,broken clouds
101,Kavieng,PG,-2.5744,150.7967,82.63,79,100,11.25,moderate rain
102,Gamba,GA,-2.65,10.0,79.29,86,100,5.26,light rain
103,Mataura,NZ,-46.1927,168.8643,46.47,98,100,1.16,overcast clouds
104,Port Alfred,ZA,-33.5906,26.891,74.59,84,54,15.57,broken clouds
105,Lagoa,PT,39.05,-27.9833,63.66,75,10,11.32,clear sky
106,Krasnoshchekovo,RU,51.6708,82.7289,4.01,91,42,3.83,scattered clouds
107,Jamestown,US,42.097,-79.2353,47.3,65,75,6.58,broken clouds
108,Gat,IL,31.61,34.7642,68.77,40,90,1.74,overcast clouds
109,Castro,BR,-24.7911,-50.0119,78.19,36,0,5.32,clear sky
110,Nichinan,JP,31.6,131.3667,52.75,84,1,4.23,clear sky
111,Cape Town,ZA,-33.9258,18.4232,72.09,56,20,5.01,few clouds
112,Johnstown,US,40.3267,-78.922,57.45,68,1,4.61,clear sky
113,Bethel,US,41.3712,-73.414,51.49,70,90,1.99,overcast clouds
114,Matagami,CA,49.7502,-77.6328,21.31,86,90,11.5,light snow
115,Punta Arenas,CL,-53.15,-70.9167,62.71,36,0,11.5,clear sky
116,New Norfolk,AU,-42.7826,147.0587,51.3,76,57,1.77,broken clouds
117,Honningsvag,NO,70.9821,25.9704,29.95,69,0,18.41,clear sky
118,Hualmay,PE,-11.0964,-77.6139,71.6,76,99,9.55,overcast clouds
119,Esperance,AU,-33.8667,121.9,63.07,85,2,12.82,clear sky
120,Curuca,BR,-0.7289,-47.8481,81.86,86,88,7.16,overcast clouds
121,Cartagena Del Chaira,CO,1.3349,-74.8429,92.48,40,51,7.05,broken clouds
122,Micheweni,TZ,-4.9667,39.8333,79.27,80,2,8.08,light rain
123,Aklavik,CA,68.2191,-135.0107,-1.37,77,40,5.75,scattered clouds
124,Takoradi,GH,4.8845,-1.7554,82.45,73,92,10.49,overcast clouds
125,Muli,MV,2.9167,73.5667,82.02,78,97,14.74,overcast clouds
126,Tahe,CN,52.3333,124.7333,7.79,97,100,2.26,overcast clouds
127,Cabedelo,BR,-6.9811,-34.8339,84.87,68,89,13.13,overcast clouds
128,Nuuk,GL,64.1835,-51.7216,23.61,80,40,12.66,scattered clouds
129,Assiniboia,CA,49.6334,-105.9845,19.31,52,18,4.61,few clouds
130,Riyadh,SA,24.6877,46.7219,60.94,30,11,9.15,few clouds
131,Genhe,CN,50.7833,121.5167,4.06,99,98,2.37,overcast clouds
132,Ndele,CF,8.4109,20.6473,83.19,17,42,5.44,scattered clouds
133,Dikson,RU,73.5069,80.5464,-23.55,89,90,4.63,overcast clouds
134,Wanning,CN,18.8003,110.3967,70.43,78,86,4.76,overcast clouds
135,Nikolskoye,RU,59.7035,30.7861,11.8,81,82,10.51,broken clouds
136,Taoudenni,ML,22.6783,-3.9836,73.42,17,100,14.5,overcast clouds
137,Ossora,RU,59.2353,163.0719,3.47,90,100,7.63,overcast clouds
138,Cavalcante,BR,-13.7975,-47.4583,79.2,72,95,4.56,overcast clouds
139,Mnogovershinnyy,RU,53.9353,139.9242,19.09,97,100,3.62,light snow
140,Beidao,CN,34.5686,105.8933,39.47,93,100,2.98,moderate rain
141,Saint-Philippe,RE,-21.3585,55.7679,78.39,73,84,11.92,broken clouds
142,Tasiilaq,GL,65.6145,-37.6368,32.16,94,100,24.11,snow
143,Ribeira Grande,PT,38.5167,-28.7,64.8,82,40,11.5,scattered clouds
144,Gushi,CN,34.6425,109.5843,43.93,82,100,2.66,overcast clouds
145,Suntar,RU,62.1444,117.6319,-0.22,97,100,4.61,overcast clouds
146,Kholodnyy,RU,62.7167,147.95,-46.62,99,64,0.16,broken clouds
147,Ponta Do Sol,PT,32.6667,-17.1,68.0,65,13,8.66,few clouds
148,Mar Del Plata,AR,-38.0023,-57.5575,66.87,88,100,21.0,overcast clouds
149,Hazorasp,UZ,41.3194,61.0742,48.04,74,92,11.81,overcast clouds
150,East London,ZA,-33.0153,27.9116,77.94,73,0,11.5,light rain
151,Verkhnyaya Inta,RU,65.9811,60.3094,5.58,95,100,15.9,light snow
152,Mayo,US,38.8876,-76.5119,53.74,64,40,1.01,scattered clouds
153,Tuktoyaktuk,CA,69.4541,-133.0374,-7.28,97,13,8.34,few clouds
